,l_f,tau,l_g,g,mu,ll,standardisation_mean,standardisation_std,m,ideal_ll,ISE_f,ISE_eps
34,0.13168718009447758,2.108515299604351,0.22110565171213176,1e-06,-0.039670022182967384,-15.33373054469852,-0.17867131387595023,1.117665098465302,34,-30.359413,15.898936305560817,5.90626347386412
35,0.10509672267985207,1.7460849886256802,0.2365097512263201,1e-06,-0.05495555741485694,-19.480953263070603,-0.1355659364555898,1.2584031038169063,35,-40.14944,8.923463288793858,27.503919914903083
36,0.12009712013817658,2.8665804787418656,0.2137721524921912,1e-06,-0.05274383086988503,-12.56508596037256,-0.09873231435391033,1.031023131066938,36,-20.789412,7.222704513999906,6.010521003813651
37,0.10437609543273935,1.5280705379343158,0.2761777941426347,1e-06,0.0038171410266167353,-22.55318386760426,-0.05925395538354592,1.1204848964267973,37,-30.737316,19.361972773954598,0.4724830239152302
38,0.0878318827446346,1.756290373328048,0.3118588595701222,1e-06,0.05316289783281201,-22.50482014609939,-0.0884619764202953,1.141625966270638,38,-39.899376,11.272435968807063,2.0318738268190177
39,0.11618468270158615,1.8765254152598294,0.23800278424468238,1e-06,-0.011823209501338824,-22.136312756649108,-0.06348654342268785,1.1675990372532792,39,-33.77234,15.811533655004366,4.528260450033576
40,0.09839468188810445,1.8094019313223602,0.2443614865757218,1e-06,-0.013067585753245516,-2.61388577959248,-0.2288804650215566,1.067864348878383,40,-26.99571,14.236457170541291,22.07474623005521
41,0.10069527540549399,1.2230667598658846,0.22929891918991568,1e-06,0.02636349760705849,-6.197973931949475,-0.06648616807071024,1.0696239069767668,41,-29.26331,20.71035637749743,34.78164516555696
42,0.13849141256715497,3.0447712387397092,0.21049617283009447,1e-06,0.007024173970241739,-9.143585479087722,-0.046130134375972215,1.1020702847590638,42,-21.749147,5.233376523722208,17.87352611789944
43,0.12075626575476049,2.1495426367478165,0.2797000744560205,1e-06,0.07784977916136512,-19.785525061968837,-0.16057365673188162,1.1312855236713746,43,-28.727955,8.951785144846932,5.410202559747897
44,0.13249253866544794,2.8295297685055276,0.21585745164400236,1e-06,0.12130290406737669,-24.321090653802752,-0.0998418852418935,1.1003743106053538,44,-26.111784,5.496015021111925,10.515554402067647
45,0.13515900345063706,2.9046195577882576,0.26274879983642857,1e-06,0.08425394554356808,-17.288639251626094,0.011762339557835073,1.1661178140578528,45,-28.906195,20.338589203949592,1.4896517726365612
46,0.12317475033169414,2.2126484535553264,0.21393921262779417,1e-06,-0.1139087820789051,-17.65704351273999,-0.01510715968211992,1.3547654094815609,46,-37.45281,37.59103763886455,1.7258635618448452
47,0.10447590854609387,1.8211055075194633,0.23894545342184972,1e-06,-0.07099367668606306,-4.417653960408841,-0.13749524186897027,1.1474714326081217,47,-24.374977,15.97610662727486,4.784666409726463
48,0.12565324147309043,3.245098207004139,0.2485141358931227,1e-06,-0.07301783985706366,-9.566940567281353,-0.10574238054982618,0.9472653631980908,48,-22.387623,14.752485455813016,15.826771275843385
49,0.11971712146616562,2.4373932219712415,0.2537860625249004,1e-06,-0.06051870824284729,-19.50450618154883,-0.16861755181293175,1.1702931678683404,49,-36.307262,16.083336430660164,7.879335431557693
